,mun,year,concepto,prop_ingr,hist,t,monto
179,San Nicolás,1990,Ingresos de deuda,0.0,a,ing,0.0
180,San Nicolás,2000,Ingresos propios,373.91069839999994,a,ing,415793544.0
181,San Nicolás,2000,Ingresos provenientes de transferencias federales,615.4971642999999,a,ing,684440826.0
182,San Nicolás,2000,Ingresos de deuda,106.2775973,a,ing,118182066.0
183,San Nicolás,2010,Ingresos propios,778.9576175,a,ing,498185681.66400003
184,San Nicolás,2010,Ingresos provenientes de transferencias federales,2119.697369,a,ing,1355661534.1936002
185,San Nicolás,2010,Ingresos de deuda,772.5397216,a,ing,494081088.8
186,San Nicolás,2015,Ingresos propios,1055.8601119999998,a,ing,551408811.9876
187,San Nicolás,2015,Ingresos provenientes de transferencias federales,3078.240941,a,ing,1607570133.0813
188,San Nicolás,2015,Ingresos de deuda,0.0,a,ing,0.0
189,San Nicolás,2018,Ingresos propios,1347.552955,a,ing,669356298.6462001
190,San Nicolás,2018,Ingresos provenientes de transferencias federales,2869.2278690000003,a,ing,1425202430.5728002
191,San Nicolás,2018,Ingresos de deuda,431.4381572,a,ing,214303895.76420003
192,San Pedro,1990,Ingresos propios,366.63283789999997,a,ing,464887611.0272
193,San Pedro,1990,Ingresos provenientes de transferencias federales,257.16037689999996,a,ing,326077374.6348
194,San Pedro,1990,Ingresos de deuda,0.0,a,ing,0.0
195,San Pedro,2000,Ingresos propios,2935.8708269999997,a,ing,827735792.13
196,San Pedro,2000,Ingresos provenientes de transferencias federales,1270.857872,a,ing,358304097.654
197,San Pedro,2000,Ingresos de deuda,0.0,a,ing,0.0
198,San Pedro,2010,Ingresos propios,4524.398446,a,ing,800693675.0892
199,San Pedro,2010,Ingresos provenientes de transferencias federales,3628.471046,a,ing,642139248.164
200,San Pedro,2010,Ingresos de deuda,81.52683456,a,ing,14428000.0
201,San Pedro,2015,Ingresos propios,10699.762509999999,a,ing,1599868075.7231998
202,San Pedro,2015,Ingresos provenientes de transferencias federales,6508.134715,a,ing,973120380.1299
203,San Pedro,2015,Ingresos de deuda,615.3488907999999,a,ing,92009242.70279999
204,San Pedro,2018,Ingresos propios,11684.511359999999,a,ing,1661574258.63
205,San Pedro,2018,Ingresos provenientes de transferencias federales,9686.396077,a,ing,1377435981.9924002
206,San Pedro,2018,Ingresos de deuda,1143.4805880000001,a,ing,162606535.4034
207,Santa Catarina,1990,Ingresos propios,37.70282823,b,ing,69294623.1676
208,Santa Catarina,1990,Ingresos provenientes de transferencias federales,64.84138958,b,ing,119173013.4704
209,Santa Catarina,1990,Ingresos de deuda,0.0,b,ing,0.0
210,Santa Catarina,2000,Ingresos propios,385.28017939999995,b,ing,195754767.084
211,Santa Catarina,2000,Ingresos provenientes de transferencias federales,615.4658585,b,ing,312708470.976
212,Santa Catarina,2000,Ingresos de deuda,72.67890021,b,ing,36927000.0
213,Santa Catarina,2010,Ingresos propios,616.3624732999999,b,ing,239178393.91320002
214,Santa Catarina,2010,Ingresos provenientes de transferencias federales,1415.4588609999998,b,ing,549266367.9864
215,Santa Catarina,2010,Ingresos de deuda,1038.712796,b,ing,403070707.6
216,Santa Catarina,2015,Ingresos propios,881.8221071,b,ing,317924956.8882
217,Santa Catarina,2015,Ingresos provenientes de transferencias federales,2357.036827,b,ing,849786851.1474
218,Santa Catarina,2015,Ingresos de deuda,417.7129084,b,ing,150598808.2179
219,Santiago,1990,Ingresos propios,116.435392,b,ing,39420078.7516
220,Santiago,1990,Ingresos provenientes de transferencias federales,90.94950633,b,ing,30791640.2536
221,Santiago,1990,Ingresos de deuda,28.59306872,b,ing,9680398.7312
222,Santiago,2000,Ingresos propios,703.6002391,b,ing,57966285.816
223,Santiago,2000,Ingresos provenientes de transferencias federales,834.2633652000001,b,ing,68731000.914
224,Santiago,2000,Ingresos de deuda,40.74758231,b,ing,3357000.0
225,Santiago,2010,Ingresos propios,1729.188243,b,ing,100965007.2132
226,Santiago,2010,Ingresos provenientes de transferencias federales,2158.75092,b,ing,126046602.01480001
227,Santiago,2010,Ingresos de deuda,547.3908424,b,ing,31961425.008
228,Santiago,2015,Ingresos propios,2378.215861,b,ing,122445627.3
229,Santiago,2015,Ingresos provenientes de transferencias federales,3813.8279060000004,b,ing,196360035.29999998
230,Santiago,2015,Ingresos de deuda,47.16202514,b,ing,2428200.0
231,Santiago,2018,Ingresos propios,4174.446997,b,ing,201208309.335
232,Santiago,2018,Ingresos provenientes de transferencias federales,5268.4891689999995,b,ing,253941132.61440003
233,Santiago,2018,Ingresos de deuda,839.2299972000001,b,ing,40450878.6462
234,Abasolo,1990,Gasto corriente,283.9949017,b,eg,4373866.71
235,Abasolo,1990,Inversión,44.44938092,b,eg,684574.4988000001
236,Abasolo,1990,Deuda,15.61689731,b,eg,240519.2024
