mun,year,concepto,prop_ingr,hist,t,monto
Santa Catarina,1990,Ingresos de deuda,0,b,ing,0
Santa Catarina,2000,Ingresos propios,385.2801794,b,ing,87468618
Santa Catarina,2000,Ingresos provenientes de transferencias federales,615.4658585,b,ing,139726752
Santa Catarina,2000,Ingresos de deuda,72.67890021,b,ing,16500000
Santa Catarina,2010,Ingresos propios,616.3624733,b,ing,165773769
Santa Catarina,2010,Ingresos provenientes de transferencias federales,1415.458861,b,ing,380694738
Santa Catarina,2010,Ingresos de deuda,1038.712796,b,ing,279367000
Santa Catarina,2015,Ingresos propios,881.8221071,b,ing,261860602
Santa Catarina,2015,Ingresos provenientes de transferencias federales,2357.036827,b,ing,699931514
Santa Catarina,2015,Ingresos de deuda,417.7129084,b,ing,124041519
Santiago,1990,Ingresos propios,116.435392,b,ing,3514253
Santiago,1990,Ingresos provenientes de transferencias federales,90.94950633,b,ing,2745038
Santiago,1990,Ingresos de deuda,28.59306872,b,ing,862996
Santiago,2000,Ingresos propios,703.6002391,b,ing,25900932
Santiago,2000,Ingresos provenientes de transferencias federales,834.2633652,b,ing,30710903
Santiago,2000,Ingresos de deuda,40.74758231,b,ing,1500000
Santiago,2010,Ingresos propios,1729.188243,b,ing,69978519
Santiago,2010,Ingresos provenientes de transferencias federales,2158.75092,b,ing,87362491
Santiago,2010,Ingresos de deuda,547.3908424,b,ing,22152360
Santiago,2015,Ingresos propios,2378.215861,b,ing,100853000
Santiago,2015,Ingresos provenientes de transferencias federales,3813.827906,b,ing,161733000
Santiago,2015,Ingresos de deuda,47.16202514,b,ing,2000000
Santiago,2018,Ingresos propios,4174.446997,b,ing,191736525
Santiago,2018,Ingresos provenientes de transferencias federales,5268.489169,b,ing,241986976
Santiago,2018,Ingresos de deuda,839.2299972,b,ing,38546673
Abasolo,1990,Gasto corriente,283.9949017,b,eg,389925
Abasolo,1990,Inversión,44.44938092,b,eg,61029
Abasolo,1990,Deuda,15.61689731,b,eg,21442
Abasolo,1990,Otros,13.85142025,b,eg,19018
Abasolo,2000,Gasto corriente,2389.05529,b,eg,6006085
Abasolo,2000,Inversión,238.0190931,b,eg,598380
Abasolo,2000,Deuda,2.252187749,b,eg,5662
Abasolo,2000,Otros,80.18337311,b,eg,201581
Abasolo,2010,Gasto corriente,4305.017198,b,eg,12015303
Abasolo,2010,Inversión,2077.712648,b,eg,5798896
Abasolo,2010,Deuda,52.15621641,b,eg,145568
Abasolo,2010,Otros,227.4399857,b,eg,634785
Abasolo,2015,Gasto corriente,5665.518757,b,eg,14951304
Abasolo,2015,Inversión,6950.651004,b,eg,18342768
Abasolo,2015,Deuda,0,b,eg,0
Abasolo,2015,Otros,2504.103827,b,eg,6608330
Apodaca,1990,Gasto corriente,49.21676602,b,eg,5704863
Apodaca,1990,Inversión,78.90063237,b,eg,9145609
Apodaca,1990,Deuda,1.632707289,b,eg,189252
Apodaca,1990,Otros,17.29681744,b,eg,2004926
Apodaca,2000,Gasto corriente,445.1815963,b,eg,126207647
Apodaca,2000,Inversión,430.2534066,b,eg,121975550
Apodaca,2000,Deuda,26.94270839,b,eg,7638177
Apodaca,2000,Otros,38.49105987,b,eg,10912100
Apodaca,2010,Gasto corriente,769.5816994,b,eg,402775974
Apodaca,2010,Inversión,1044.663725,b,eg,546745654
Apodaca,2010,Deuda,108.8258364,b,eg,56956178
Apodaca,2010,Otros,26.0747903,b,eg,13646763
Apodaca,2015,Gasto corriente,1828.154347,b,eg,1091786573
Apodaca,2015,Inversión,883.1894151,b,eg,527446901
Apodaca,2015,Deuda,322.3211031,b,eg,192492419
Apodaca,2015,Otros,94.56496826,b,eg,56474861
Apodaca,2018,Gasto corriente,2039.403845,b,eg,1308518216
Apodaca,2018,Inversión,943.9246748,b,eg,605639062
Apodaca,2018,Deuda,13.63229835,b,eg,8746728
Apodaca,2018,Otros,141.5661141,b,eg,90831367
Cadereyta,1990,Gasto corriente,61.45849352,b,eg,3293069
Cadereyta,1990,Inversión,13.53131649,b,eg,725035
Cadereyta,1990,Deuda,3.760124669,b,eg,201475
Cadereyta,1990,Otros,7.209790601,b,eg,386315
Cadereyta,2000,Gasto corriente,644.669047,b,eg,48388214
Cadereyta,2000,Inversión,355.8246313,b,eg,26707841
Cadereyta,2000,Deuda,52.94836062,b,eg,3974251
Cadereyta,2000,Otros,65.22732784,b,eg,4895898
Cadereyta,2010,Gasto corriente,2093.178669,b,eg,180944830
Cadereyta,2010,Inversión,594.1537509,b,eg,51361621
Cadereyta,2010,Deuda,0,b,eg,0
Cadereyta,2010,Otros,98.89519348,b,eg,8548995
Cadereyta,2015,Gasto corriente,1348.30631,b,eg,128809095
Cadereyta,2015,Inversión,235.1571168,b,eg,22465500
Cadereyta,2015,Deuda,69.28272657,b,eg,6618856
Cadereyta,2015,Otros,2213.128687,b,eg,211429036
Cadereyta,2018,Gasto corriente,2774.079908,b,eg,283768956
Cadereyta,2018,Inversión,732.71522,b,eg,74951638
Cadereyta,2018,Deuda,1.438182476,b,eg,147116
Cadereyta,2018,Otros,373.456434,b,eg,38201979
Ciénaga de Flores,1990,Gasto corriente,188.8928145,b,eg,1267093
Ciénaga de Flores,1990,Inversión,45.02146691,b,eg,302004
Ciénaga de Flores,1990,Deuda,0.083184258,b,eg,558
Ciénaga de Flores,1990,Otros,24.49612403,b,eg,164320
Ciénaga de Flores,2000,Gasto corriente,1032.455641,b,eg,11567633
Ciénaga de Flores,2000,Inversión,833.8958408,b,eg,9342969
Ciénaga de Flores,2000,Deuda,0,b,eg,0
Ciénaga de Flores,2000,Otros,115.5751517,b,eg,1294904
Ciénaga de Flores,2010,Gasto corriente,2792.983079,b,eg,68500703
Ciénaga de Flores,2010,Inversión,795.9263231,b,eg,19520889
Ciénaga de Flores,2010,Deuda,34.29593085,b,eg,841142
Ciénaga de Flores,2010,Otros,59.75609557,b,eg,1465578
Ciénaga de Flores,2015,Gasto corriente,2289.575372,b,eg,97799212
Ciénaga de Flores,2015,Inversión,893.6947442,b,eg,38174171
Ciénaga de Flores,2015,Deuda,43.95313122,b,eg,1877458
Ciénaga de Flores,2015,Otros,316.0275547,b,eg,13499117
El Carmen,1990,Gasto corriente,161.3134937,b,eg,791404
El Carmen,1990,Inversión,37.06828373,b,eg,181857
El Carmen,1990,Deuda,0.868120669,b,eg,4259
El Carmen,1990,Otros,35.763351,b,eg,175455
El Carmen,2000,Gasto corriente,1259.389073,b,eg,8367381
El Carmen,2000,Inversión,794.0621613,b,eg,5275749
El Carmen,2000,Deuda,0,b,eg,0
El Carmen,2000,Otros,97.09211318,b,eg,645080
El Carmen,2010,Gasto corriente,1888.128697,b,eg,30383767
El Carmen,2010,Inversión,756.0757519,b,eg,12166771
El Carmen,2010,Deuda,1.880437484,b,eg,30260
El Carmen,2010,Otros,124.5395227,b,eg,2004090
El Carmen,2015,Gasto corriente,1209.642223,b,eg,46336555
El Carmen,2015,Inversión,343.201274,b,eg,13146668
El Carmen,2015,Deuda,0.721897353,b,eg,27653
El Carmen,2015,Otros,202.5256879,b,eg,7757949
García,1990,Gasto corriente,187.7438469,b,eg,2471460
García,1990,Inversión,107.7862352,b,eg,1418898
García,1990,Deuda,18.95176238,b,eg,249481
García,1990,Otros,17.47037375,b,eg,229980
García,2000,Gasto corriente,756.1998343,b,eg,21910134
García,2000,Inversión,420.9747705,b,eg,12197323
García,2000,Deuda,30.62652723,b,eg,887373
García,2000,Otros,70.11327397,b,eg,2031462
García,2010,Gasto corriente,1282.889481,b,eg,184310166
García,2010,Inversión,502.6733302,b,eg,72218072
García,2010,Deuda,74.06039619,b,eg,10640109
García,2010,Otros,712.7257148,b,eg,102395878
García,2015,Gasto corriente,1565.877944,b,eg,387351227
García,2015,Inversión,518.814351,b,eg,128339106
García,2015,Deuda,136.1578203,b,eg,33681360
García,2015,Otros,272.359603,b,eg,67373595
General Escobedo,1990,Gasto corriente,36.94954507,b,eg,3626487
General Escobedo,1990,Inversión,17.73156592,b,eg,1740300
General Escobedo,1990,Deuda,9.867148257,b,eg,968431
General Escobedo,1990,Otros,3.532537928,b,eg,346708
General Escobedo,2000,Gasto corriente,521.1053684,b,eg,121655696
General Escobedo,2000,Inversión,301.252916,b,eg,70329602
General Escobedo,2000,Deuda,34.50066179,b,eg,8054421
General Escobedo,2000,Otros,75.6168802,b,eg,17653290
General Escobedo,2010,Gasto corriente,1033.697623,b,eg,369998626
General Escobedo,2010,Inversión,950.1662471,b,eg,340099656
General Escobedo,2010,Deuda,214.9150242,b,eg,76926039
General Escobedo,2010,Otros,627.454376,b,eg,224589137
General Escobedo,2015,Gasto corriente,1825.644366,b,eg,776169051
General Escobedo,2015,Inversión,574.7903695,b,eg,244370976
General Escobedo,2015,Deuda,108.9073805,b,eg,46301755
General Escobedo,2015,Otros,262.674424,b,eg,111675506
General Escobedo,2018,Gasto corriente,2099.214322,b,eg,947035351
General Escobedo,2018,Inversión,462.118057,b,eg,208479016
General Escobedo,2018,Deuda,66.06514193,b,eg,29804496
General Escobedo,2018,Otros,149.7169514,b,eg,67543006
General Zuazua,1990,Gasto corriente,137.185496,b,eg,637501
General Zuazua,1990,Inversión,141.3830428,b,eg,657007
General Zuazua,1990,Deuda,0.023671186,b,eg,110
General Zuazua,1990,Otros,19.69205939,b,eg,91509
General Zuazua,2000,Gasto corriente,1576.886955,b,eg,9513359
General Zuazua,2000,Inversión,595.8441903,b,eg,3594728
General Zuazua,2000,Deuda,30.23719543,b,eg,182421
General Zuazua,2000,Otros,209.685397,b,eg,1265032
General Zuazua,2010,Gasto corriente,522.6052379,b,eg,28854603
General Zuazua,2010,Inversión,199.8861862,b,eg,11036316
General Zuazua,2010,Deuda,0.581366707,b,eg,32099
General Zuazua,2010,Otros,101.0654375,b,eg,5580126
General Zuazua,2015,Gasto corriente,605.2457277,b,eg,40729406
General Zuazua,2015,Inversión,473.9985437,b,eg,31897258
General Zuazua,2015,Deuda,0.366600291,b,eg,24670
General Zuazua,2015,Otros,429.1408298,b,eg,28878603
Guadalupe,1990,Gasto corriente,73.08047278,a,eg,39138978
Guadalupe,1990,Inversión,20.71870565,a,eg,11096110
Guadalupe,1990,Deuda,2.374327806,a,eg,1271595
Guadalupe,1990,Otros,4.120585929,a,eg,2206821
Guadalupe,2000,Gasto corriente,566.3938958,a,eg,379575666
Guadalupe,2000,Inversión,241.4772712,a,eg,161828891
Guadalupe,2000,Deuda,37.90673449,a,eg,25403653
